id,name,status,species,type,gender,origin,location,image,episode,url,created
11,Albert Einstein,Dead,Human,,Male,"{'name': 'Earth (C-137)', 'url': 'https://rickandmortyapi.com/api/location/1'}","{'name': 'Earth (Replacement Dimension)', 'url': 'https://rickandmortyapi.com/api/location/20'}",https://rickandmortyapi.com/api/character/avatar/11.jpeg,['https://rickandmortyapi.com/api/episode/12'],https://rickandmortyapi.com/api/character/11,2017-11-04T20:20:20.965Z
12,Alexander,Dead,Human,,Male,"{'name': 'Earth (C-137)', 'url': 'https://rickandmortyapi.com/api/location/1'}","{'name': 'Anatomy Park', 'url': 'https://rickandmortyapi.com/api/location/5'}",https://rickandmortyapi.com/api/character/avatar/12.jpeg,['https://rickandmortyapi.com/api/episode/3'],https://rickandmortyapi.com/api/character/12,2017-11-04T20:32:33.144Z
13,Alien Googah,unknown,Alien,,unknown,"{'name': 'unknown', 'url': ''}","{'name': 'Earth (Replacement Dimension)', 'url': 'https://rickandmortyapi.com/api/location/20'}",https://rickandmortyapi.com/api/character/avatar/13.jpeg,['https://rickandmortyapi.com/api/episode/31'],https://rickandmortyapi.com/api/character/13,2017-11-04T20:33:30.779Z
14,Alien Morty,unknown,Alien,,Male,"{'name': 'unknown', 'url': ''}","{'name': 'Citadel of Ricks', 'url': 'https://rickandmortyapi.com/api/location/3'}",https://rickandmortyapi.com/api/character/avatar/14.jpeg,['https://rickandmortyapi.com/api/episode/10'],https://rickandmortyapi.com/api/character/14,2017-11-04T20:51:31.373Z
15,Alien Rick,unknown,Alien,,Male,"{'name': 'unknown', 'url': ''}","{'name': 'Citadel of Ricks', 'url': 'https://rickandmortyapi.com/api/location/3'}",https://rickandmortyapi.com/api/character/avatar/15.jpeg,['https://rickandmortyapi.com/api/episode/10'],https://rickandmortyapi.com/api/character/15,2017-11-04T20:56:13.215Z
16,Amish Cyborg,Dead,Alien,Parasite,Male,"{'name': 'unknown', 'url': ''}","{'name': 'Earth (Replacement Dimension)', 'url': 'https://rickandmortyapi.com/api/location/20'}",https://rickandmortyapi.com/api/character/avatar/16.jpeg,['https://rickandmortyapi.com/api/episode/15'],https://rickandmortyapi.com/api/character/16,2017-11-04T21:12:45.235Z
17,Annie,Alive,Human,,Female,"{'name': 'Earth (C-137)', 'url': 'https://rickandmortyapi.com/api/location/1'}","{'name': 'Anatomy Park', 'url': 'https://rickandmortyapi.com/api/location/5'}",https://rickandmortyapi.com/api/character/avatar/17.jpeg,['https://rickandmortyapi.com/api/episode/3'],https://rickandmortyapi.com/api/character/17,2017-11-04T22:21:24.481Z
18,Antenna Morty,Alive,Human,Human with antennae,Male,"{'name': 'unknown', 'url': ''}","{'name': 'Citadel of Ricks', 'url': 'https://rickandmortyapi.com/api/location/3'}",https://rickandmortyapi.com/api/character/avatar/18.jpeg,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/28']",https://rickandmortyapi.com/api/character/18,2017-11-04T22:25:29.008Z
19,Antenna Rick,unknown,Human,Human with antennae,Male,"{'name': 'unknown', 'url': ''}","{'name': 'unknown', 'url': ''}",https://rickandmortyapi.com/api/character/avatar/19.jpeg,['https://rickandmortyapi.com/api/episode/10'],https://rickandmortyapi.com/api/character/19,2017-11-04T22:28:13.756Z
20,Ants in my Eyes Johnson,unknown,Human,Human with ants in his eyes,Male,"{'name': 'unknown', 'url': ''}","{'name': 'Interdimensional Cable', 'url': 'https://rickandmortyapi.com/api/location/6'}",https://rickandmortyapi.com/api/character/avatar/20.jpeg,['https://rickandmortyapi.com/api/episode/8'],https://rickandmortyapi.com/api/character/20,2017-11-04T22:34:53.659Z
21,Aqua Morty,unknown,Humanoid,Fish-Person,Male,"{'name': 'unknown', 'url': ''}","{'name': 'Citadel of Ricks', 'url': 'https://rickandmortyapi.com/api/location/3'}",https://rickandmortyapi.com/api/character/avatar/21.jpeg,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/22']",https://rickandmortyapi.com/api/character/21,2017-11-04T22:39:48.055Z
22,Aqua Rick,unknown,Humanoid,Fish-Person,Male,"{'name': 'unknown', 'url': ''}","{'name': 'Citadel of Ricks', 'url': 'https://rickandmortyapi.com/api/location/3'}",https://rickandmortyapi.com/api/character/avatar/22.jpeg,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/28']",https://rickandmortyapi.com/api/character/22,2017-11-04T22:41:07.171Z
23,Arcade Alien,unknown,Alien,,Male,"{'name': 'unknown', 'url': ''}","{'name': 'Immortality Field Resort', 'url': 'https://rickandmortyapi.com/api/location/7'}",https://rickandmortyapi.com/api/character/avatar/23.jpeg,"['https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/19', 'https://rickandmortyapi.com/api/episode/21', 'https://rickandmortyapi.com/api/episode/25', 'https://rickandmortyapi.com/api/episode/26']",https://rickandmortyapi.com/api/character/23,2017-11-05T08:43:05.095Z
24,Armagheadon,Alive,Alien,Cromulon,Male,"{'name': 'Signus 5 Expanse', 'url': 'https://rickandmortyapi.com/api/location/22'}","{'name': 'Signus 5 Expanse', 'url': 'https://rickandmortyapi.com/api/location/22'}",https://rickandmortyapi.com/api/character/avatar/24.jpeg,['https://rickandmortyapi.com/api/episode/16'],https://rickandmortyapi.com/api/character/24,2017-11-05T08:48:30.776Z
25,Armothy,Dead,unknown,Self-aware arm,Male,"{'name': 'Post-Apocalyptic Earth', 'url': 'https://rickandmortyapi.com/api/location/8'}","{'name': 'Post-Apocalyptic Earth', 'url': 'https://rickandmortyapi.com/api/location/8'}",https://rickandmortyapi.com/api/character/avatar/25.jpeg,['https://rickandmortyapi.com/api/episode/23'],https://rickandmortyapi.com/api/character/25,2017-11-05T08:54:29.343Z
26,Arthricia,Alive,Alien,Cat-Person,Female,"{'name': 'Purge Planet', 'url': 'https://rickandmortyapi.com/api/location/9'}","{'name': 'Purge Planet', 'url': 'https://rickandmortyapi.com/api/location/9'}",https://rickandmortyapi.com/api/character/avatar/26.jpeg,['https://rickandmortyapi.com/api/episode/20'],https://rickandmortyapi.com/api/character/26,2017-11-05T08:56:46.165Z
27,Artist Morty,Alive,Human,,Male,"{'name': 'unknown', 'url': ''}","{'name': 'Citadel of Ricks', 'url': 'https://rickandmortyapi.com/api/location/3'}",https://rickandmortyapi.com/api/character/avatar/27.jpeg,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/28']",https://rickandmortyapi.com/api/character/27,2017-11-05T08:59:07.457Z
28,Attila Starwar,Alive,Human,,Male,"{'name': 'unknown', 'url': ''}","{'name': 'Interdimensional Cable', 'url': 'https://rickandmortyapi.com/api/location/6'}",https://rickandmortyapi.com/api/character/avatar/28.jpeg,"['https://rickandmortyapi.com/api/episode/8', 'https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/17']",https://rickandmortyapi.com/api/character/28,2017-11-05T09:02:16.595Z
29,Baby Legs,Alive,Human,Human with baby legs,Male,"{'name': 'unknown', 'url': ''}","{'name': 'Interdimensional Cable', 'url': 'https://rickandmortyapi.com/api/location/6'}",https://rickandmortyapi.com/api/character/avatar/29.jpeg,['https://rickandmortyapi.com/api/episode/8'],https://rickandmortyapi.com/api/character/29,2017-11-05T09:06:19.644Z
30,Baby Poopybutthole,Alive,Poopybutthole,,Male,"{'name': 'unknown', 'url': ''}","{'name': 'unknown', 'url': ''}",https://rickandmortyapi.com/api/character/avatar/30.jpeg,['https://rickandmortyapi.com/api/episode/31'],https://rickandmortyapi.com/api/character/30,2017-11-05T09:13:16.483Z
31,Baby Wizard,Dead,Alien,Parasite,Male,"{'name': 'unknown', 'url': ''}","{'name': 'Earth (Replacement Dimension)', 'url': 'https://rickandmortyapi.com/api/location/20'}",https://rickandmortyapi.com/api/character/avatar/31.jpeg,['https://rickandmortyapi.com/api/episode/15'],https://rickandmortyapi.com/api/character/31,2017-11-05T09:15:11.286Z
32,Bearded Lady,Dead,Alien,Parasite,Female,"{'name': 'unknown', 'url': ''}","{'name': 'Earth (Replacement Dimension)', 'url': 'https://rickandmortyapi.com/api/location/20'}",https://rickandmortyapi.com/api/character/avatar/32.jpeg,['https://rickandmortyapi.com/api/episode/15'],https://rickandmortyapi.com/api/character/32,2017-11-05T09:18:04.184Z
33,Beebo,Dead,Alien,,Male,"{'name': 'Venzenulon 7', 'url': 'https://rickandmortyapi.com/api/location/10'}","{'name': 'Venzenulon 7', 'url': 'https://rickandmortyapi.com/api/location/10'}",https://rickandmortyapi.com/api/character/avatar/33.jpeg,['https://rickandmortyapi.com/api/episode/29'],https://rickandmortyapi.com/api/character/33,2017-11-05T09:21:55.595Z
34,Benjamin,Alive,Poopybutthole,,Male,"{'name': 'unknown', 'url': ''}","{'name': 'Interdimensional Cable', 'url': 'https://rickandmortyapi.com/api/location/6'}",https://rickandmortyapi.com/api/character/avatar/34.jpeg,"['https://rickandmortyapi.com/api/episode/8', 'https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/17']",https://rickandmortyapi.com/api/character/34,2017-11-05T09:24:04.748Z
35,Bepisian,Alive,Alien,Bepisian,unknown,"{'name': 'Bepis 9', 'url': 'https://rickandmortyapi.com/api/location/11'}","{'name': 'Bepis 9', 'url': 'https://rickandmortyapi.com/api/location/11'}",https://rickandmortyapi.com/api/character/avatar/35.jpeg,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/19', 'https://rickandmortyapi.com/api/episode/25']",https://rickandmortyapi.com/api/character/35,2017-11-05T09:27:38.491Z
36,Beta-Seven,Alive,Alien,Hivemind,unknown,"{'name': 'unknown', 'url': ''}","{'name': 'unknown', 'url': ''}",https://rickandmortyapi.com/api/character/avatar/36.jpeg,['https://rickandmortyapi.com/api/episode/14'],https://rickandmortyapi.com/api/character/36,2017-11-05T09:31:08.952Z
37,Beth Sanchez,Alive,Human,,Female,"{'name': 'Earth (C-500A)', 'url': 'https://rickandmortyapi.com/api/location/23'}","{'name': 'Earth (C-500A)', 'url': 'https://rickandmortyapi.com/api/location/23'}",https://rickandmortyapi.com/api/character/avatar/37.jpeg,['https://rickandmortyapi.com/api/episode/8'],https://rickandmortyapi.com/api/character/37,2017-11-05T09:38:22.960Z
38,Beth Smith,Alive,Human,,Female,"{'name': 'Earth (C-137)', 'url': 'https://rickandmortyapi.com/api/location/1'}","{'name': 'Earth (C-137)', 'url': 'https://rickandmortyapi.com/api/location/1'}",https://rickandmortyapi.com/api/character/avatar/38.jpeg,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/2', 'https://rickandmortyapi.com/api/episode/3', 'https://rickandmortyapi.com/api/episode/4', 'https://rickandmortyapi.com/api/episode/5', 'https://rickandmortyapi.com/api/episode/6', 'https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/51']",https://rickandmortyapi.com/api/character/38,2017-11-05T09:48:44.230Z
39,Beth Smith,Alive,Human,,Female,"{'name': ""Earth (Evil Rick's Target Dimension)"", 'url': 'https://rickandmortyapi.com/api/location/34'}","{'name': ""Earth (Evil Rick's Target Dimension)"", 'url': 'https://rickandmortyapi.com/api/location/34'}",https://rickandmortyapi.com/api/character/avatar/39.jpeg,['https://rickandmortyapi.com/api/episode/10'],https://rickandmortyapi.com/api/character/39,2017-11-05T09:52:31.777Z
40,Beth's Mytholog,Dead,Mythological Creature,Mytholog,Female,"{'name': 'Nuptia 4', 'url': 'https://rickandmortyapi.com/api/location/13'}","{'name': 'Nuptia 4', 'url': 'https://rickandmortyapi.com/api/location/13'}",https://rickandmortyapi.com/api/character/avatar/40.jpeg,['https://rickandmortyapi.com/api/episode/18'],https://rickandmortyapi.com/api/character/40,2017-11-05T10:02:26.701Z
41,Big Boobed Waitress,Alive,Mythological Creature,,Female,"{'name': 'Fantasy World', 'url': 'https://rickandmortyapi.com/api/location/48'}","{'name': 'Fantasy World', 'url': 'https://rickandmortyapi.com/api/location/48'}",https://rickandmortyapi.com/api/character/avatar/41.jpeg,['https://rickandmortyapi.com/api/episode/5'],https://rickandmortyapi.com/api/character/41,2017-11-05T10:13:45.960Z
42,Big Head Morty,unknown,Human,Human with giant head,Male,"{'name': 'unknown', 'url': ''}","{'name': 'Citadel of Ricks', 'url': 'https://rickandmortyapi.com/api/location/3'}",https://rickandmortyapi.com/api/character/avatar/42.jpeg,['https://rickandmortyapi.com/api/episode/22'],https://rickandmortyapi.com/api/character/42,2017-11-05T10:15:53.349Z
43,Big Morty,Dead,Human,,Male,"{'name': 'unknown', 'url': ''}","{'name': 'Citadel of Ricks', 'url': 'https://rickandmortyapi.com/api/location/3'}",https://rickandmortyapi.com/api/character/avatar/43.jpeg,['https://rickandmortyapi.com/api/episode/28'],https://rickandmortyapi.com/api/character/43,2017-11-05T10:17:04.997Z
44,Body Guard Morty,Dead,Human,,Male,"{'name': 'unknown', 'url': ''}","{'name': 'Citadel of Ricks', 'url': 'https://rickandmortyapi.com/api/location/3'}",https://rickandmortyapi.com/api/character/avatar/44.jpeg,['https://rickandmortyapi.com/api/episode/28'],https://rickandmortyapi.com/api/character/44,2017-11-05T10:18:11.062Z
45,Bill,Alive,Human,,Male,"{'name': 'Earth (C-137)', 'url': 'https://rickandmortyapi.com/api/location/1'}","{'name': 'Earth (C-137)', 'url': 'https://rickandmortyapi.com/api/location/1'}",https://rickandmortyapi.com/api/character/avatar/45.jpeg,['https://rickandmortyapi.com/api/episode/3'],https://rickandmortyapi.com/api/character/45,2017-11-05T10:22:27.446Z
46,Bill,unknown,Animal,Dog,Male,"{'name': 'Earth (Replacement Dimension)', 'url': 'https://rickandmortyapi.com/api/location/20'}","{'name': 'unknown', 'url': ''}",https://rickandmortyapi.com/api/character/avatar/46.jpeg,['https://rickandmortyapi.com/api/episode/2'],https://rickandmortyapi.com/api/character/46,2017-11-05T10:24:38.089Z
